tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570306133677760513,neutral,1.0,na,na,Virgin America,na,cairdin,na,0,@VirginAmerica What @dhepburn said.,na,2015-02-24 11:35:52 -0800,na,Eastern Time (US & Canada)
570301130888122368,positive,0.3486,na,0.0,Virgin America,na,jnardino,na,0,@VirginAmerica plus you've added commercials to the experience... tacky.,na,2015-02-24 11:15:59 -0800,na,Pacific Time (US & Canada)
570301083672813571,neutral,0.6837,na,na,Virgin America,na,yvonnalynn,na,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,na,2015-02-24 11:15:48 -0800,Lets Play,Central Time (US & Canada)
570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,na,jnardino,na,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",na,2015-02-24 11:15:36 -0800,na,Pacific Time (US & Canada)
570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,na,jnardino,na,0,@VirginAmerica and it's a really big bad thing about it,na,2015-02-24 11:14:45 -0800,na,Pacific Time (US & Canada)
570300767074181121,negative,1.0,Can't Tell,0.6842,Virgin America,na,jnardino,na,0,@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing. it's really the only bad thing about flying VA,na,2015-02-24 11:14:33 -0800,na,Pacific Time (US & Canada)
570300616901320704,positive,0.6745,na,0.0,Virgin America,na,cjmcginnis,na,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",na,2015-02-24 11:13:57 -0800,San Francisco CA,Pacific Time (US & Canada)
570300248553349120,neutral,0.634,na,na,Virgin America,na,pilot,na,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",na,2015-02-24 11:12:29 -0800,Los Angeles,Pacific Time (US & Canada)
570299953286942721,positive,0.6559,na,na,Virgin America,na,dhepburn,na,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",na,2015-02-24 11:11:19 -0800,San Diego,Pacific Time (US & Canada)
570295459631263746,positive,1.0,na,na,Virgin America,na,YupitsTate,na,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",na,2015-02-24 10:53:27 -0800,Los Angeles,Eastern Time (US & Canada)
570294189143031808,neutral,0.6769,na,0.0,Virgin America,na,idk_but_youtube,na,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,na,2015-02-24 10:48:24 -0800,1/1 loner squad,Eastern Time (US & Canada)
570289724453216256,positive,1.0,na,na,Virgin America,na,HyperCamiLax,na,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,na,2015-02-24 10:30:40 -0800,NYC,America/New_York
570289584061480960,positive,1.0,na,na,Virgin America,na,HyperCamiLax,na,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,na,2015-02-24 10:30:06 -0800,NYC,America/New_York
570287408438120448,positive,0.6451,na,na,Virgin America,na,mollanderson,na,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,na,2015-02-24 10:21:28 -0800,na,Eastern Time (US & Canada)
570285904809598977,positive,1.0,na,na,Virgin America,na,sjespers,na,0,@VirginAmerica Thanks!,na,2015-02-24 10:15:29 -0800,"San Francisco, CA",Pacific Time (US & Canada)
570282469121007616,negative,0.6842,Late Flight,0.3684,Virgin America,na,smartwatermelon,na,0,@VirginAmerica SFO-PDX schedule is still MIA.,na,2015-02-24 10:01:50 -0800,"palo alto, ca",Pacific Time (US & Canada)
570277724385734656,positive,1.0,na,na,Virgin America,na,ItzBrianHunty,na,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,na,2015-02-24 09:42:59 -0800,west covina,Pacific Time (US & Canada)
570276917301137409,negative,1.0,Bad Flight,1.0,Virgin America,na,heatherovieda,na,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,na,2015-02-24 09:39:46 -0800,this place called NYC,Eastern Time (US & Canada)
570270684619923457,positive,1.0,na,na,Virgin America,na,thebrandiray,na,0,I ❤️ flying @VirginAmerica. ☺️👍,na,2015-02-24 09:15:00 -0800,Somewhere celebrating life. ,Atlantic Time (Canada)
570267956648792064,positive,1.0,na,na,Virgin America,na,JNLpierce,na,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,na,2015-02-24 09:04:10 -0800,Boston | Waltham,Quito
570265883513384960,negative,0.6705,Can't Tell,0.3614,Virgin America,na,MISSGJ,na,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,na,2015-02-24 08:55:56 -0800,na,na
570264145116819457,positive,1.0,na,na,Virgin America,na,DT_Les,na,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",2015-02-24 08:49:01 -0800,na,na
570259420287868928,positive,1.0,na,na,Virgin America,na,ElvinaBeck,na,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,na,2015-02-24 08:30:15 -0800,Los Angeles,Pacific Time (US & Canada)
570258822297579520,neutral,1.0,na,na,Virgin America,na,rjlynch21086,na,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,na,2015-02-24 08:27:52 -0800,"Boston, MA ",Eastern Time (US & Canada)
570256553502068736,negative,1.0,Customer Service Issue,0.3557,Virgin America,na,ayeevickiee,na,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,na,2015-02-24 08:18:51 -0800,714,Mountain Time (US & Canada)
570249102404923392,negative,1.0,Customer Service Issue,1.0,Virgin America,na,Leora13,na,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,na,2015-02-24 07:49:15 -0800,na,na
570239632807370753,negative,1.0,Can't Tell,0.6614,Virgin America,na,meredithjlynn,na,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,na,2015-02-24 07:11:37 -0800,na,na
570217831557677057,neutral,0.6854,na,na,Virgin America,na,AdamSinger,na,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,na,2015-02-24 05:44:59 -0800,"San Francisco, CA",Central Time (US & Canada)
570207886493782019,negative,1.0,Bad Flight,1.0,Virgin America,na,blackjackpro911,na,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",2015-02-24 05:05:28 -0800,"San Mateo, CA & Las Vegas, NV",na
570124596180955136,neutral,0.615,na,0.0,Virgin America,na,TenantsUpstairs,na,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",2015-02-23 23:34:30 -0800,Brooklyn,Atlantic Time (Canada)
570114021854212096,negative,1.0,Flight Booking Problems,1.0,Virgin America,na,jordanpichler,na,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",na,2015-02-23 22:52:29 -0800,na,Vienna
570094701371469825,neutral,1.0,na,na,Virgin America,na,JCervantezzz,na,0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,na,2015-02-23 21:35:43 -0800,"California, San Francisco",Pacific Time (US & Canada)
570088404156698625,negative,1.0,Customer Service Issue,1.0,Virgin America,na,Cuschoolie1,na,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",2015-02-23 21:10:41 -0800,Washington DC,Quito
570084582780899328,negative,1.0,Customer Service Issue,1.0,Virgin America,na,amanduhmccarty,na,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",na,2015-02-23 20:55:30 -0800,na,Pacific Time (US & Canada)
570076792993611776,positive,1.0,na,na,Virgin America,na,NorthTxHomeTeam,na,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",2015-02-23 20:24:33 -0800,Texas,Central Time (US & Canada)
570051991277342720,neutral,0.6207,na,na,Virgin America,na,miaerolinea,na,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,na,2015-02-23 18:46:00 -0800,Worldwide,Caracas
570051381534396416,positive,1.0,na,na,Virgin America,na,Nicsplace,na,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,na,2015-02-23 18:43:35 -0800,Central Texas,na
570045393565691904,positive,1.0,na,na,Virgin America,na,Nicsplace,na,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",na,2015-02-23 18:19:47 -0800,Central Texas,na
570038941497192448,neutral,0.6791,na,0.0,Virgin America,na,elisha_malulani,na,0,@VirginAmerica when can I book my flight to Hawaii??,na,2015-02-23 17:54:09 -0800,i'm creating a monster ,Pacific Time (US & Canada)
570035876845084672,negative,1.0,Customer Service Issue,1.0,Virgin America,na,DannyDouglass,na,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,na,2015-02-23 17:41:58 -0800,"San Francisco, CA",Pacific Time (US & Canada)
570033593394667521,positive,0.6639,na,na,Virgin America,na,jamesferrandini,na,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",na,2015-02-23 17:32:54 -0800,na,na
570025482344898560,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,na,will_lenzenjr,na,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",na,2015-02-23 17:00:40 -0800,Iowa City,Central Time (US & Canada)
